"game","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts","game_score"
"10","1986-11-22 00:00:00.000","23-278","CHI","WSB","W (+9)","39:00","10","26","0.385","0","0","","2","3","0.667","2","7","9","4","3","1","3","22","13.2"
"9","1986-11-21 00:00:00.000","23-277","CHI","NYK","W (+2)","40:00","14","26","0.538","0","0","","12","15","0.8","1","5","6","4","3","2","2","40","32.8"
"8","1986-11-14 00:00:00.000","23-270","CHI","BOS","L (-12)","41:00","17","33","0.515","1","1","1","13","14","0.929","2","3","5","1","2","1","0","48","35.8"
"7","1986-11-12 00:00:00.000","23-268","CHI","WSB","L (-2)","39:00","9","25","0.36","0","1","0","10","12","0.833","0","4","4","4","3","1","4","28","15.4"
"6","1986-11-11 00:00:00.000","23-267","CHI","ATL","W (+2)","39:00","14","32","0.438","0","0","","6","6","1","4","1","5","3","1","3","5","34","18.9"
"5","1986-11-08 00:00:00.000","23-264","CHI","PHO","W (+5)","39:00","17","27","0.63","0","0","","5","5","1","3","3","6","3","5","0","3","39","33.2"
"4","1986-11-07 00:00:00.000","23-263","CHI","DET","L (-6)","42:00","11","26","0.423","0","1","0","11","15","0.733","0","0","0","5","1","1","3","33","18.2"
"3","1986-11-04 00:00:00.000","23-260","CHI","SAS","W (+7)","44:00","14","31","0.452","0","1","0","6","13","0.462","3","5","8","5","4","2","6","34","20.8"
"2","1986-11-02 00:00:00.000","23-258","CHI","CLE","W (+5)","39:00","16","31","0.516","0","0","","9","12","0.75","6","2","8","2","0","4","3","41","29.3"
"1","1986-11-01 00:00:00.000","23-257","CHI","NYK","W (+5)","41:00","15","31","0.484","0","0","","20","22","0.909","2","4","6","3","4","3","6","50","37.5"
"18","1986-04-13 00:00:00.000","23-055","CHI","CLE","L (-7)","29:00","11","23","0.478","0","2","0","7","7","1","0","3","3","4","4","0","2","29","21.4"
"17","1986-04-11 00:00:00.000","23-053","CHI","WSB","W (+2)","37:00","12","36","0.333","0","1","0","7","10","0.7","1","4","5","2","3","1","2","31","12.4"
"16","1986-04-08 00:00:00.000","23-050","CHI","ATL","L (-13)","33:00","12","25","0.48","0","2","0","6","6","1","1","5","6","6","2","1","7","30","18.6"
"15","1986-04-07 00:00:00.000","23-049","CHI","MIL","W (+6)","31:00","10","18","0.556","1","3","0.333","5","5","1","1","4","5","7","1","3","2","26","24.1"
"14","1986-04-05 00:00:00.000","23-047","CHI","ATL","W (+5)","31:00","10","21","0.476","2","3","0.667","8","9","0.889","1","2","3","3","1","1","4","30","19.6"
"13","1986-04-03 00:00:00.000","23-045","CHI","IND","W (+1)","28:00","12","19","0.632","0","0","","2","4","0.5","1","4","5","3","3","2","3","26","21.7"
"12","1986-04-01 00:00:00.000","23-043","CHI","MIL","L (-9)","26:00","8","16","0.5","0","1","0","12","12","1","1","4","5","2","1","3","1","28","24.6"
"11","1986-03-29 00:00:00.000","23-040","CHI","NYK","W (+10)","23:00","10","17","0.588","0","1","0","4","6","0.667","1","0","1","1","1","3","4","24","15"
"10","1986-03-28 00:00:00.000","23-039","CHI","NJN","L (-11)","22:00","9","15","0.6","0","0","","4","6","0.667","0","1","1","3","5","0","3","22","17.1"
"9","1986-03-25 00:00:00.000","23-036","CHI","NYK","W (+13)","19:00","5","12","0.417","0","1","0","9","9","1","1","2","3","3","1","0","2","19","13.8"
"8","1986-03-22 00:00:00.000","23-033","CHI","CLE","L (-26)","16:00","4","13","0.308","0","0","","0","1","0","1","0","1","1","0","0","1","8","-0.3"
"7","1986-03-21 00:00:00.000","23-032","CHI","BOS","L (-21)","16:00","7","16","0.438","0","1","0","6","7","0.857","2","0","2","1","0","1","1","20","11.8"
"6","1986-03-19 00:00:00.000","23-030","CHI","PHI","L (-6)","15:00","4","14","0.286","0","2","0","4","6","0.667","4","0","4","3","2","2","1","12","9.9"
"5","1986-03-17 00:00:00.000","23-028","CHI","ATL","L (-10)","14:00","4","16","0.25","0","1","0","9","10","0.9","3","1","4","1","7","1","1","17","16.8"
"4","1986-03-15 00:00:00.000","23-026","CHI","MIL","L (-9)","13:00","4","7","0.571","0","0","","4","7","0.571","0","1","1","2","1","0","1","12","8.4"
"3","1985-10-29 00:00:00.000","22-254","CHI","GSW","W (+6)","18:00","6","10","0.6","0","0","","0","0","","0","2","2","2","0","0","1","12","8"
"2","1985-10-26 00:00:00.000","22-251","CHI","DET","W (+3)","41:00","9","24","0.375","0","0","","15","16","0.938","2","5","7","6","2","3","6","33","22.6"
"1","1985-10-25 00:00:00.000","22-250","CHI","CLE","W (+1)","39:00","13","26","0.5","0","0","","3","4","0.75","3","3","6","3","3","0","3","29","18.7"
"82","1985-04-13 00:00:00.000","22-055","CHI","NJN","L (-12)","40:00","9","24","0.375","1","5","0.2","10","11","0.909","2","0","2","9","1","0","4","29","18.9"
"81","1985-04-12 00:00:00.000","22-054","CHI","ATL","L (-11)","36:00","11","16","0.688","0","1","0","6","7","0.857","2","1","3","6","5","0","7","28","23.5"
"80","1985-04-08 00:00:00.000","22-050","CHI","IND","L (-4)","39:00","6","20","0.3","0","1","0","10","14","0.714","2","6","8","5","3","0","5","22","12.7"
"79","1985-04-06 00:00:00.000","22-048","CHI","ATL","W (+3)","43:00","12","18","0.667","0","0","","9","9","1","2","5","7","4","3","2","7","33","26.7"
"78","1985-04-05 00:00:00.000","22-047","CHI","PHI","L (-3)","38:00","13","21","0.619","0","1","0","14","15","0.933","0","1","1","5","3","0","2","40","32.5"
"77","1985-04-03 00:00:00.000","22-045","CHI","WSB","W (+9)","40:00","12","19","0.632","0","1","0","1","3","0.333","1","5","6","3","4","0","2","25","20"
"76","1985-04-02 00:00:00.000","22-044","CHI","NJN","W (+14)","44:00","12","19","0.632","0","0","","7","8","0.875","5","3","8","9","3","0","7","31","28.4"
"75","1985-03-30 00:00:00.000","22-041","CHI","PHI","L (-5)","42:00","13","19","0.684","1","1","1","11","13","0.846","2","3","5","6","1","0","3","38","33.2"
"74","1985-03-28 00:00:00.000","22-039","CHI","CLE","L (-8)","41:00","11","25","0.44","1","3","0.333","12","14","0.857","4","4","8","10","2","0","2","35","30.5"
"73","1985-03-26 00:00:00.000","22-037","CHI","IND","W (+1)","40:00","13","24","0.542","0","1","0","12","13","0.923","4","5","9","5","3","0","3","38","31.8"
"72","1985-03-24 00:00:00.000","22-035","CHI","UTA","L (-18)","35:00","9","24","0.375","0","0","","8","11","0.727","3","6","9","6","4","2","3","26","21.3"
"71","1985-03-23 00:00:00.000","22-034","CHI","DAL","W (+10)","43:00","5","17","0.294","0","0","","10","10","1","3","6","9","10","2","1","1","20","22.3"
"70","1985-03-20 00:00:00.000","22-031","CHI","SAS","L (-8)","43:00","14","23","0.609","0","1","0","10","12","0.833","3","4","7","4","3","0","2","38","31.8"
"69","1985-03-19 00:00:00.000","22-030","CHI","HOU","L (-6)","42:00","11","22","0.5","0","0","","9","10","0.9","2","2","4","7","2","1","7","31","21"
"68","1985-03-17 00:00:00.000","22-028","CHI","MIL","W (+2)","48:00","11","25","0.44","0","3","0","10","13","0.769","6","5","11","16","1","1","3","32","31.3"
"67","1985-03-15 00:00:00.000","22-026","CHI","PHO","W (+6)","42:00","11","15","0.733","0","0","","5","6","0.833","1","8","9","14","2","2","6","27","29.6"
"66","1985-03-14 00:00:00.000","22-025","CHI","NYK","L (-9)","34:00","5","18","0.278","0","0","","6","11","0.545","1","2","3","8","1","0","1","16","9.1"
"65","1985-03-12 00:00:00.000","22-023","CHI","DET","W (+1)","39:00","11","24","0.458","0","1","0","10","11","0.909","3","5","8","4","1","0","5","32","20.8"
"64","1985-03-11 00:00:00.000","22-022","CHI","WSB","L (-7)","34:00","6","14","0.429","0","0","","9","10","0.9","1","3","4","4","0","0","4","21","12.8"
"63","1985-03-09 00:00:00.000","22-020","CHI","UTA","L (-6)","38:00","9","21","0.429","1","1","1","9","16","0.563","2","4","6","4","5","0","6","28","16.5"
"62","1985-03-08 00:00:00.000","22-019","CHI","LAC","W (+16)","28:00","7","13","0.538","1","2","0.5","11","14","0.786","2","6","8","7","0","1","1","26","25.1"
"61","1985-03-06 00:00:00.000","22-017","CHI","BOS","W (+3)","42:00","13","28","0.464","0","0","","7","7","1","2","5","7","3","5","2","5","33","24.2"
"60","1985-03-05 00:00:00.000","22-016","CHI","WSB","W (+5)","44:00","12","23","0.522","0","0","","13","17","0.765","2","7","9","8","2","1","2","37","32.7"
"59","1985-03-03 00:00:00.000","22-014","CHI","NJN","L (-4)","41:00","13","21","0.619","0","0","","11","12","0.917","6","8","14","5","3","1","3","37","37.1"
"58","1985-03-01 00:00:00.000","22-012","CHI","NYK","W (+5)","38:00","6","15","0.4","0","0","","9","12","0.75","2","8","10","10","3","0","7","21","17.7"
"57","1985-02-27 00:00:00.000","22-010","CHI","DET","L (-9)","35:00","8","17","0.471","0","1","0","8","9","0.889","1","5","6","2","4","1","4","24","18"
"56","1985-02-26 00:00:00.000","22-009","CHI","CLE","L (-5)","48:00","12","27","0.444","0","1","0","4","4","1","3","6","9","5","0","0","1","28","18.7"
"55","1985-02-23 00:00:00.000","22-006","CHI","GSW","W (+15)","32:00","15","20","0.75","0","0","","8","8","1","1","4","5","5","3","0","0","38","36.8"
"54","1985-02-22 00:00:00.000","22-005","CHI","BOS","L (-10)","42:00","8","18","0.444","0","0","","10","12","0.833","1","3","4","7","3","0","3","26","21.1"
"53","1985-02-19 00:00:00.000","22-002","CHI","LAL","L (-10)","30:00","6","13","0.462","0","2","0","4","5","0.8","4","2","6","8","0","0","3","16","12.9"
"52","1985-02-17 00:00:00.000","22-000","CHI","MIL","L (-20)","34:00","9","15","0.6","0","0","","8","8","1","2","1","3","3","2","1","5","26","20.2"
"51","1985-02-15 00:00:00.000","21-364","CHI","IND","L (-18)","37:00","8","20","0.4","0","1","0","1","2","0.5","1","6","7","6","0","2","4","17","9.5"
"50","1985-02-12 00:00:00.000","21-361","CHI","DET","W (+13)","45:00","19","31","0.613","0","0","","11","13","0.846","7","8","15","5","4","0","6","49","40.9"
"49","1985-02-07 00:00:00.000","21-356","CHI","CLE","L (-9)","38:00","8","17","0.471","0","0","","7","8","0.875","3","1","4","7","4","0","7","23","15.8"
"48","1985-02-05 00:00:00.000","21-354","CHI","BOS","L (-4)","45:00","14","25","0.56","0","1","0","13","14","0.929","4","8","12","7","4","1","1","41","40.1"
"47","1985-02-01 00:00:00.000","21-350","CHI","PHI","L (-11)","37:00","9","16","0.563","0","2","0","13","14","0.929","0","6","6","5","2","0","3","31","25.3"
"46","1985-01-30 00:00:00.000","21-348","CHI","WSB","L (-11)","41:00","12","19","0.632","0","0","","14","15","0.933","0","7","7","8","4","0","4","38","35.6"
"45","1985-01-29 00:00:00.000","21-347","CHI","KCK","W (+6)","38:00","11","17","0.647","0","0","","4","6","0.667","0","7","7","7","3","0","1","26","25.5"
"44","1985-01-26 00:00:00.000","21-344","CHI","ATL","W (+13)","43:00","17","24","0.708","0","0","","11","11","1","1","7","8","10","0","4","5","45","41.4"
"43","1985-01-25 00:00:00.000","21-343","CHI","SEA","W (+17)","37:00","6","15","0.4","0","1","0","10","10","1","2","2","4","8","4","2","1","22","24.7"
"42","1985-01-22 00:00:00.000","21-340","CHI","POR","W (+8)","39:00","11","20","0.55","0","1","0","7","7","1","1","11","12","5","2","0","4","29","23.3"
"41","1985-01-19 00:00:00.000","21-337","CHI","IND","L (-3)","41:00","15","27","0.556","2","4","0.5","6","8","0.75","2","10","12","7","3","2","2","38","34"
"40","1985-01-17 00:00:00.000","21-335","CHI","CLE","W (+5)","40:00","8","20","0.4","0","0","","9","12","0.75","0","4","4","6","2","2","3","25","17.2"
"39","1985-01-16 00:00:00.000","21-334","CHI","NJN","L (-6)","44:00","8","17","0.471","0","1","0","11","12","0.917","1","6","7","7","2","0","6","27","20.1"
"38","1985-01-14 00:00:00.000","21-332","CHI","DEN","W (+9)","43:00","11","16","0.688","0","0","","13","15","0.867","2","12","14","15","3","1","6","35","39.4"
"37","1985-01-12 00:00:00.000","21-330","CHI","CLE","L (-3)","36:00","10","21","0.476","0","1","0","4","6","0.667","4","8","12","3","1","0","3","24","15.8"
"36","1985-01-11 00:00:00.000","21-329","CHI","NYK","W (+16)","30:00","8","14","0.571","0","0","","7","7","1","2","4","6","5","2","0","5","23","18.3"
"35","1985-01-09 00:00:00.000","21-327","CHI","BOS","L (-3)","42:00","12","24","0.5","0","0","","12","13","0.923","4","2","6","6","2","1","4","36","28.3"
"34","1985-01-05 00:00:00.000","21-323","CHI","NYK","L (-6)","42:00","16","25","0.64","0","0","","10","11","0.909","4","3","7","4","2","1","3","42","35.5"
"33","1985-01-04 00:00:00.000","21-322","CHI","MIL","W (+5)","38:00","9","16","0.563","0","1","0","4","5","0.8","0","2","2","6","3","0","0","22","20.2"
"32","1985-01-02 00:00:00.000","21-320","CHI","ATL","L (-14)","34:00","10","14","0.714","0","0","","5","6","0.833","1","6","7","4","3","0","4","25","22.3"
"31","1984-12-29 00:00:00.000","21-316","CHI","ATL","L (-3)","39:00","7","18","0.389","0","0","","7","9","0.778","1","3","4","5","0","0","3","21","10.1"
"30","1984-12-27 00:00:00.000","21-314","CHI","CLE","W (+4)","44:00","20","33","0.606","0","1","0","5","5","1","2","5","7","11","3","0","3","45","40.1"
"29","1984-12-22 00:00:00.000","21-309","CHI","BOS","W (+25)","35:00","12","18","0.667","0","0","","8","8","1","1","11","12","8","0","3","3","32","31.7"
"28","1984-12-20 00:00:00.000","21-307","CHI","ATL","W (+3)","41:00","12","22","0.545","0","0","","10","16","0.625","4","4","8","7","5","1","7","34","26.6"
"27","1984-12-18 00:00:00.000","21-305","CHI","HOU","L (-8)","45:00","8","20","0.4","0","1","0","2","4","0.5","1","2","3","8","3","0","1","18","14.5"
"26","1984-12-15 00:00:00.000","21-302","CHI","PHI","L (-12)","27:00","7","16","0.438","0","0","","0","0","","1","1","2","2","1","0","1","14","7.2"
"25","1984-12-14 00:00:00.000","21-301","CHI","NJN","L (-2)","44:00","12","25","0.48","0","0","","10","10","1","2","6","8","8","1","0","0","34","29.5"
"24","1984-12-12 00:00:00.000","21-299","CHI","DET","L (-7)","30:00","6","17","0.353","0","2","0","9","10","0.9","0","1","1","2","2","1","1","21","12.5"
"23","1984-12-11 00:00:00.000","21-298","CHI","DET","L (-7)","37:00","13","28","0.464","0","1","0","1","3","0.333","1","7","8","6","2","0","3","27","16.2"
"22","1984-12-08 00:00:00.000","21-295","CHI","DAL","W (+2)","35:00","10","23","0.435","0","0","","0","0","","4","3","7","2","0","2","2","20","11.2"
"21","1984-12-07 00:00:00.000","21-294","CHI","NYK","W (+2)","43:00","8","16","0.5","0","1","0","5","7","0.714","1","1","2","3","2","0","6","21","9.3"
"20","1984-12-04 00:00:00.000","21-291","CHI","NJN","W (+15)","35:00","7","13","0.538","0","0","","6","6","1","1","2","3","6","1","0","3","20","16"
"19","1984-12-02 00:00:00.000","21-289","CHI","LAL","W (+1)","42:00","7","13","0.538","0","0","","6","8","0.75","2","0","2","3","1","1","4","20","12.9"
"18","1984-11-30 00:00:00.000","21-287","CHI","LAC","W (+4)","37:00","9","15","0.6","0","0","","2","4","0.5","2","3","5","5","3","0","4","20","15.5"
"17","1984-11-29 00:00:00.000","21-286","CHI","PHO","L (-5)","30:00","9","17","0.529","1","1","1","3","4","0.75","1","2","3","2","2","0","2","22","14"
"16","1984-11-27 00:00:00.000","21-284","CHI","GSW","L (-6)","24:00","6","10","0.6","0","0","","1","1","1","0","2","2","3","3","2","4","13","11.1"
"15","1984-11-24 00:00:00.000","21-281","CHI","POR","L (-10)","41:00","10","24","0.417","0","1","0","10","10","1","3","3","6","8","3","1","4","30","23.9"
"14","1984-11-23 00:00:00.000","21-280","CHI","SEA","W (+19)","30:00","9","13","0.692","0","0","","5","6","0.833","0","4","4","3","4","1","4","23","19.5"
"13","1984-11-21 00:00:00.000","21-278","CHI","MIL","L (-10)","42:00","11","22","0.5","0","0","","13","14","0.929","4","9","13","2","2","2","6","35","26.7"
"12","1984-11-19 00:00:00.000","21-276","CHI","IND","L (-17)","39:00","11","26","0.423","0","3","0","12","16","0.75","2","3","5","2","2","1","3","34","20.8"
"11","1984-11-17 00:00:00.000","21-274","CHI","PHI","L (-9)","44:00","4","17","0.235","0","0","","8","8","1","0","5","5","7","5","2","4","16","12.5"
"10","1984-11-15 00:00:00.000","21-272","CHI","BOS","L (-20)","33:00","12","24","0.5","0","1","0","3","3","1","0","2","2","2","2","1","1","27","17.1"
"9","1984-11-13 00:00:00.000","21-270","CHI","SAS","W (+3)","43:00","18","27","0.667","1","1","1","8","11","0.727","2","8","10","4","3","2","4","45","37.5"
"8","1984-11-10 00:00:00.000","21-267","CHI","IND","W (+2)","42:00","9","22","0.409","0","0","","9","12","0.75","2","7","9","4","2","5","3","27","21.2"
"7","1984-11-08 00:00:00.000","21-265","CHI","NYK","W (+15)","33:00","15","22","0.682","0","0","","3","4","0.75","4","4","8","5","3","2","5","33","29.3"
"6","1984-11-07 00:00:00.000","21-264","CHI","DET","W (+4)","27:00","9","19","0.474","0","0","","7","9","0.778","1","3","4","3","3","1","5","25","14.9"
"5","1984-11-01 00:00:00.000","21-258","CHI","DEN","L (-16)","33:00","7","15","0.467","0","0","","3","4","0.75","3","2","5","5","1","1","2","17","13.2"
"4","1984-10-30 00:00:00.000","21-256","CHI","KCK","W (+5)","36:00","8","21","0.381","0","0","","9","9","1","2","2","4","5","3","1","6","25","14.7"
"3","1984-10-29 00:00:00.000","21-255","CHI","MIL","W (+6)","34:00","13","24","0.542","0","0","","11","13","0.846","2","2","4","5","6","2","3","37","32.9"
"2","1984-10-27 00:00:00.000","21-253","CHI","MIL","L (-2)","34:00","8","13","0.615","0","0","","5","5","1","3","2","5","5","2","1","3","21","19.4"
"1","1984-10-26 00:00:00.000","21-252","CHI","WSB","W (+16)","40:00","5","16","0.313","0","0","","6","7","0.857","1","5","6","7","2","4","5","16","12.5"
