"game","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts","game_score"
"29","1988-01-05 00:00:00.000","24-322","CHI","IND","W (+16)","38:00","12","20","0.6","0","0","","7","8","0.875","6","5","11","9","4","5","2","31","36.9"
"28","1988-01-02 00:00:00.000","24-319","CHI","NJN","W (+23)","37:00","9","19","0.474","0","0","","7","7","1","3","7","10","10","6","3","1","25","32"
"27","1987-12-29 00:00:00.000","24-315","CHI","ATL","L (-10)","43:00","16","37","0.432","0","2","0","7","9","0.778","6","2","8","6","5","0","2","39","28.7"
"26","1987-12-26 00:00:00.000","24-312","CHI","IND","L (-14)","34:00","6","22","0.273","0","0","","5","6","0.833","2","4","6","6","0","2","5","17","5.6"
"25","1987-12-23 00:00:00.000","24-309","CHI","NYK","L (-1)","39:00","5","15","0.333","0","0","","6","9","0.667","1","4","5","2","3","0","2","16","9.4"
"24","1987-12-22 00:00:00.000","24-308","CHI","DAL","L (-11)","41:00","11","20","0.55","0","1","0","6","7","0.857","4","2","6","7","4","2","4","28","26.1"
"23","1987-12-19 00:00:00.000","24-305","CHI","WSB","L (-13)","43:00","12","23","0.522","0","0","","6","8","0.75","0","2","2","7","3","2","2","30","24.6"
"22","1987-12-17 00:00:00.000","24-303","CHI","CLE","W (+11)","41:00","20","31","0.645","0","0","","12","12","1","0","3","3","6","4","1","2","52","45.3"
"21","1987-12-15 00:00:00.000","24-301","CHI","DET","L (-4)","50:00","12","26","0.462","1","2","0.5","13","16","0.813","3","5","8","12","3","1","2","38","34.7"
"20","1987-12-12 00:00:00.000","24-298","CHI","HOU","W (+9)","40:00","16","28","0.571","0","0","","12","12","1","0","3","3","9","5","5","3","44","42.3"
"19","1987-12-10 00:00:00.000","24-296","CHI","MIL","W (+6)","40:00","11","18","0.611","0","0","","10","11","0.909","1","6","7","4","3","1","3","32","28.6"
"18","1987-12-08 00:00:00.000","24-294","CHI","PHI","L (-13)","42:00","14","26","0.538","0","1","0","5","6","0.833","1","4","5","10","3","3","7","33","25.4"
"17","1987-12-05 00:00:00.000","24-291","CHI","SAS","L (-9)","40:00","15","22","0.682","0","2","0","10","12","0.833","1","1","2","8","1","0","6","40","30.2"
"16","1987-12-04 00:00:00.000","24-290","CHI","DEN","L (-16)","35:00","9","15","0.6","1","1","1","4","5","0.8","1","3","4","5","4","0","4","23","19.2"
"15","1987-12-02 00:00:00.000","24-288","CHI","UTA","W (+4)","39:00","17","27","0.63","0","0","","13","16","0.813","2","2","4","9","3","3","2","47","43.5"
"14","1987-12-01 00:00:00.000","24-287","CHI","GSW","W (+1)","40:00","6","15","0.4","0","0","","4","6","0.667","0","6","6","9","3","1","3","16","15.1"
"13","1987-11-28 00:00:00.000","24-284","CHI","HOU","W (+12)","41:00","12","22","0.545","0","1","0","10","10","1","3","4","7","6","4","2","7","34","27.7"
"12","1987-11-27 00:00:00.000","24-283","CHI","DAL","L (-1)","45:00","8","20","0.4","0","1","0","9","9","1","1","5","6","9","3","1","3","25","22.6"
"11","1987-11-25 00:00:00.000","24-281","CHI","MIL","W (+2)","39:00","13","24","0.542","0","1","0","7","8","0.875","1","2","3","6","3","1","1","33","27.2"
"10","1987-11-23 00:00:00.000","24-279","CHI","BOS","W (+5)","41:00","12","26","0.462","0","0","","7","10","0.7","4","6","10","3","4","0","5","31","20.1"
"9","1987-11-21 00:00:00.000","24-277","CHI","DET","L (-12)","44:00","17","38","0.447","0","2","0","15","17","0.882","2","4","6","8","6","1","4","49","36.9"
"8","1987-11-20 00:00:00.000","24-276","CHI","ATL","W (+2)","40:00","10","22","0.455","0","0","","13","14","0.929","0","7","7","7","4","4","2","33","31.8"
"7","1987-11-18 00:00:00.000","24-274","CHI","WSB","W (+2)","40:00","9","21","0.429","0","1","0","12","12","1","1","2","3","8","3","1","2","30","26.3"
"6","1987-11-17 00:00:00.000","24-273","CHI","WSB","W (+4)","36:00","10","18","0.556","0","0","","6","6","1","0","3","3","7","2","1","3","26","21.7"
"5","1987-11-14 00:00:00.000","24-270","CHI","IND","L (-1)","40:00","14","29","0.483","0","0","","9","11","0.818","3","2","5","5","4","1","3","37","28.2"
"4","1987-11-13 00:00:00.000","24-269","CHI","NJN","W (+18)","35:00","10","19","0.526","0","0","","16","17","0.941","3","4","7","5","6","1","3","36","36.4"
"3","1987-11-11 00:00:00.000","24-267","CHI","NJN","W (+9)","40:00","10","20","0.5","0","1","0","11","13","0.846","1","2","3","4","2","0","5","31","19.7"
"2","1987-11-10 00:00:00.000","24-266","CHI","ATL","W (+10)","42:00","11","23","0.478","1","3","0.333","6","9","0.667","0","6","6","7","1","1","3","29","20.3"
"1","1987-11-07 00:00:00.000","24-263","CHI","PHI","W (+10)","38:00","15","25","0.6","0","0","","6","10","0.6","2","3","5","3","6","4","2","36","32.9"
"82","1987-04-17 00:00:00.000","24-059","CHI","BOS","L (-3)","25:00","5","15","0.333","0","0","","7","7","1","1","3","4","8","0","2","1","17","15.3"
"81","1987-04-16 00:00:00.000","24-058","CHI","ATL","L (-3)","41:00","22","38","0.579","0","3","0","17","21","0.81","5","5","10","1","4","1","3","61","47.8"
"80","1987-04-13 00:00:00.000","24-055","CHI","MIL","W (+7)","41:00","16","31","0.516","0","1","0","18","22","0.818","1","8","9","4","4","3","1","50","42.1"
"79","1987-04-12 00:00:00.000","24-054","CHI","IND","W (+21)","42:00","19","27","0.704","0","0","","15","18","0.833","2","2","4","8","4","2","3","53","49.7"
"78","1987-04-10 00:00:00.000","24-052","CHI","PHI","L (-2)","50:00","11","31","0.355","0","1","0","12","15","0.8","3","3","6","10","3","1","3","34","25"
"77","1987-04-07 00:00:00.000","24-049","CHI","DET","W (+30)","26:00","13","21","0.619","0","0","","13","16","0.813","2","3","5","4","4","1","3","39","35.1"
"76","1987-04-04 00:00:00.000","24-046","CHI","ATL","L (-13)","35:00","9","24","0.375","0","1","0","13","13","1","5","1","6","7","1","0","1","31","25.3"
"75","1987-04-03 00:00:00.000","24-045","CHI","WSB","L (-4)","45:00","13","22","0.591","1","2","0.5","5","5","1","1","1","2","7","2","1","4","32","24.8"
"74","1987-04-01 00:00:00.000","24-043","CHI","IND","L (-5)","41:00","10","25","0.4","1","3","0.333","5","6","0.833","2","7","9","7","5","3","3","26","22.6"
"73","1987-03-31 00:00:00.000","24-042","CHI","WSB","W (+26)","34:00","12","18","0.667","0","0","","12","14","0.857","0","3","3","4","3","1","4","36","30"
"72","1987-03-29 00:00:00.000","24-040","CHI","NYK","W (+19)","40:00","13","24","0.542","0","2","0","7","9","0.778","0","1","1","8","4","1","1","33","29"
"71","1987-03-27 00:00:00.000","24-038","CHI","BOS","L (-5)","40:00","9","23","0.391","0","0","","4","5","0.8","3","4","7","7","7","1","3","22","20.8"
"70","1987-03-26 00:00:00.000","24-037","CHI","NJN","L (-2)","43:00","14","30","0.467","0","0","","12","14","0.857","1","5","6","7","4","1","4","40","31.2"
"69","1987-03-24 00:00:00.000","24-035","CHI","PHI","W (+2)","44:00","22","32","0.688","0","1","0","12","15","0.8","1","6","7","3","8","0","7","56","46"
"68","1987-03-22 00:00:00.000","24-033","CHI","POR","L (-2)","43:00","14","26","0.538","0","2","0","18","20","0.9","0","1","1","6","4","0","7","46","32.9"
"67","1987-03-21 00:00:00.000","24-032","CHI","SAC","W (+15)","44:00","13","25","0.52","0","1","0","14","15","0.933","1","2","3","5","4","0","7","40","28.3"
"66","1987-03-19 00:00:00.000","24-030","CHI","LAC","W (+17)","41:00","14","23","0.609","1","1","1","11","11","1","3","4","7","3","2","4","2","40","36.1"
"65","1987-03-17 00:00:00.000","24-028","CHI","DAL","L (-18)","42:00","7","21","0.333","1","2","0.5","6","7","0.857","0","3","3","9","0","0","3","21","11.7"
"64","1987-03-16 00:00:00.000","24-027","CHI","HOU","L (-1)","43:00","15","28","0.536","0","1","0","14","14","1","1","3","4","5","4","0","4","44","33.5"
"63","1987-03-14 00:00:00.000","24-025","CHI","WSB","L (-1)","47:00","5","20","0.25","0","0","","3","3","1","1","6","7","8","4","2","7","13","7.5"
"62","1987-03-13 00:00:00.000","24-024","CHI","DET","L (-1)","36:00","7","22","0.318","0","0","","10","13","0.769","1","3","4","3","0","0","2","24","11.1"
"61","1987-03-11 00:00:00.000","24-022","CHI","PHI","L (-9)","44:00","19","34","0.559","1","1","1","10","11","0.909","4","4","8","7","2","4","6","49","38.5"
"60","1987-03-09 00:00:00.000","24-020","CHI","ATL","L (-5)","42:00","12","26","0.462","0","1","0","7","10","0.7","2","5","7","8","3","1","3","31","24.8"
"59","1987-03-08 00:00:00.000","24-019","CHI","DAL","W (+10)","44:00","11","28","0.393","0","1","0","11","12","0.917","3","3","6","4","5","3","1","33","28.5"
"58","1987-03-06 00:00:00.000","24-017","CHI","NYK","L (-1)","39:00","10","24","0.417","0","0","","7","9","0.778","3","5","8","5","8","3","4","27","25.8"
"57","1987-03-04 00:00:00.000","24-015","CHI","DET","W (+5)","43:00","22","39","0.564","0","0","","17","18","0.944","3","4","7","3","3","3","5","61","47.6"
"56","1987-03-03 00:00:00.000","24-014","CHI","LAC","W (+34)","28:00","11","17","0.647","0","0","","8","9","0.889","0","3","3","8","3","2","2","30","30.6"
"55","1987-03-01 00:00:00.000","24-012","CHI","NJN","L (-10)","39:00","10","23","0.435","0","1","0","10","12","0.833","3","1","4","4","3","2","7","30","18.1"
"54","1987-02-28 00:00:00.000","24-011","CHI","MIL","W (+3)","38:00","11","28","0.393","0","1","0","15","17","0.882","3","3","6","2","3","1","3","37","24.5"
"53","1987-02-26 00:00:00.000","24-009","CHI","NJN","W (+15)","37:00","16","25","0.64","0","0","","26","27","0.963","1","7","8","3","3","2","3","58","51.2"
"52","1987-02-24 00:00:00.000","24-007","CHI","ATL","W (+10)","42:00","10","22","0.455","0","0","","14","18","0.778","3","9","12","2","5","5","2","34","32.5"
"51","1987-02-22 00:00:00.000","24-005","CHI","CLE","W (+4)","39:00","16","29","0.552","0","0","","11","15","0.733","2","2","4","6","8","5","4","43","40.8"
"50","1987-02-20 00:00:00.000","24-003","CHI","LAL","L (-10)","40:00","11","27","0.407","0","0","","11","12","0.917","2","0","2","5","5","2","2","33","25.8"
"49","1987-02-16 00:00:00.000","23-364","CHI","SAC","L (-4)","48:00","13","30","0.433","0","1","0","17","18","0.944","1","6","7","6","5","4","7","43","32.3"
"48","1987-02-14 00:00:00.000","23-362","CHI","NYK","W (+4)","37:00","15","24","0.625","0","1","0","3","5","0.6","0","2","2","8","3","3","2","33","29.9"
"47","1987-02-13 00:00:00.000","23-361","CHI","SEA","W (+8)","41:00","14","28","0.5","0","0","","17","19","0.895","0","3","3","6","2","2","1","45","36.5"
"46","1987-02-10 00:00:00.000","23-358","CHI","PHI","W (+5)","41:00","11","22","0.5","0","0","","7","9","0.778","2","1","3","4","3","1","4","29","19.8"
"45","1987-02-05 00:00:00.000","23-353","CHI","MIL","L (-15)","44:00","12","24","0.5","0","0","","12","13","0.923","2","5","7","5","2","2","3","36","29.6"
"44","1987-02-03 00:00:00.000","23-351","CHI","WSB","W (+7)","43:00","12","28","0.429","0","1","0","8","9","0.889","3","3","6","6","0","2","5","32","19.2"
"43","1987-02-01 00:00:00.000","23-349","CHI","DET","L (-2)","44:00","14","39","0.359","1","5","0.2","9","9","1","4","1","5","5","5","0","2","38","23.9"
"42","1987-01-30 00:00:00.000","23-347","CHI","PHI","L (-9)","41:00","19","35","0.543","0","4","0","11","12","0.917","1","1","2","5","3","2","4","49","35"
"41","1987-01-28 00:00:00.000","23-345","CHI","BOS","L (-29)","37:00","11","23","0.478","0","2","0","5","8","0.625","1","3","4","4","1","1","6","27","13"
"40","1987-01-27 00:00:00.000","23-344","CHI","BOS","L (-8)","40:00","13","34","0.382","0","2","0","4","6","0.667","1","4","5","6","2","0","5","30","12.9"
"39","1987-01-24 00:00:00.000","23-341","CHI","CLE","L (-30)","27:00","11","20","0.55","0","0","","5","6","0.833","0","0","0","1","1","0","1","27","16.1"
"38","1987-01-23 00:00:00.000","23-340","CHI","CLE","W (+21)","37:00","14","28","0.5","1","1","1","6","6","1","1","1","2","2","3","0","3","35","23"
"37","1987-01-20 00:00:00.000","23-337","CHI","MIL","W (+13)","39:00","11","22","0.5","0","0","","9","10","0.9","2","5","7","2","2","1","3","31","22.8"
"36","1987-01-19 00:00:00.000","23-336","CHI","IND","L (-14)","41:00","11","25","0.44","1","1","1","9","11","0.818","4","2","6","3","0","0","5","32","16.6"
"35","1987-01-17 00:00:00.000","23-334","CHI","PHI","W (+16)","44:00","17","34","0.5","0","0","","13","14","0.929","5","5","10","6","4","1","4","47","38.7"
"34","1987-01-15 00:00:00.000","23-332","CHI","HOU","L (-11)","43:00","17","43","0.395","1","4","0.25","8","9","0.889","1","2","3","3","2","1","2","43","22.6"
"33","1987-01-10 00:00:00.000","23-327","CHI","NJN","W (+10)","36:00","8","24","0.333","0","0","","15","15","1","1","6","7","5","2","1","4","31","20.9"
"32","1987-01-08 00:00:00.000","23-325","CHI","POR","W (+4)","43:00","20","34","0.588","0","0","","13","16","0.813","3","1","4","5","3","2","3","53","42.1"
"31","1987-01-06 00:00:00.000","23-323","CHI","CLE","W (+4)","38:00","13","23","0.565","0","0","","1","3","0.333","0","2","2","3","2","0","3","27","15"
"30","1987-01-03 00:00:00.000","23-320","CHI","DET","W (+5)","38:00","16","35","0.457","0","2","0","15","17","0.882","1","3","4","2","1","0","1","47","29.5"
"29","1987-01-02 00:00:00.000","23-319","CHI","BOS","L (-14)","40:00","13","31","0.419","0","1","0","8","10","0.8","6","2","8","3","1","0","2","34","21.8"
"28","1986-12-30 00:00:00.000","23-316","CHI","GSW","L (-3)","40:00","12","27","0.444","2","3","0.667","5","7","0.714","1","4","5","3","4","0","2","31","20.5"
"27","1986-12-27 00:00:00.000","23-313","CHI","IND","W (+12)","36:00","20","29","0.69","0","0","","4","4","1","2","2","4","3","0","2","4","44","32.8"
"26","1986-12-25 00:00:00.000","23-311","CHI","NYK","L (-1)","41:00","10","28","0.357","0","0","","10","12","0.833","1","2","3","5","6","2","6","30","19.4"
"25","1986-12-23 00:00:00.000","23-309","CHI","CLE","W (+16)","35:00","18","33","0.545","0","1","0","7","7","1","4","1","5","6","2","0","3","43","32.6"
"24","1986-12-20 00:00:00.000","23-306","CHI","UTA","L (-2)","38:00","10","26","0.385","0","0","","7","8","0.875","0","4","4","7","2","4","5","27","17.1"
"23","1986-12-18 00:00:00.000","23-304","CHI","IND","W (+9)","39:00","15","27","0.556","0","0","","11","12","0.917","2","1","3","6","0","1","2","41","31.5"
"22","1986-12-16 00:00:00.000","23-302","CHI","NJN","W (+1)","37:00","13","29","0.448","0","1","0","15","18","0.833","2","3","5","1","0","0","4","41","21.7"
